001,Cannes Film Festival,France,43.552847,7.017369,120000
002,Festival d'Aix-en-Provence,France,43.529742,5.447427,84000
003,A week in Archachon,France,44.652297,-1.1785016,90000
004,Gambling in Singapore,Singapore,1.282302,103.8585308,130000
005,A walk on the Great Wall,China,40.4319077,116.5703749,95000
006,Angkor Wat holiday,Cambodia,13.4124693,103.8669857,104000
007,Soldiers in Xian,China,34.3841153,109.2784918,130000
008,Temple hopping in Kunming,China,25.0509507,102.711784,150000
009,Climb Mt. Everest,Nepal,27.8086946,86.7210611,500000
010,A week with the Queen of England,London,51.501364,-0.14189,10000000
011,Rum Chocolates and Sand in Grenada,West Indies,12.232713,-61.6542345,45000
012,Cricket Rain Forest hikes  beaches,West Indies,11.2917701,-60.5370916,82000
